Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-03-04,3.760000,5.440000,2.960000,3.520000,3.520000,5200,IPDN,3yr
,IPDN,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-09-26,12.010000,12.170000,11.530000,12.120000,12.120000,744600,RNG,1yr
,RNG,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-09-26,23.600000,23.709999,23.280001,23.510000,23.510000,177800,RNG,3yr
,RNG,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-03-12,16.889999,17.440001,16.700001,17.340000,17.340000,317600,SSNI,1yr
,SSNI,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-03-14,13.480000,13.990000,13.480000,13.640000,13.640000,210900,SSNI,3yr
,SSNI,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-05-16,54.610001,54.869999,52.750000,54.610001,54.610001,1520100,DATA,1yr
,DATA,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-05-16,48.330002,49.169998,47.590000,48.410000,48.410000,1183100,DATA,3yr
,DATA,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-06-26,4.700000,4.750000,4.570000,4.710000,4.710000,424400,TLRA,1yr
,TLRA,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-06-27,1.790000,1.790000,1.630000,1.650000,1.650000,19100,TLRA,3yr
,TLRA,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-11-06,40.189999,41.349998,40.099998,40.840000,40.840000,16292100,TWTR,1yr
,TWTR,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-11-07,18.110001,18.690001,18.110001,18.410000,18.410000,26006200,TWTR,3yr
,TWTR,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-10-15,25.000000,26.900000,24.750000,26.600000,26.600000,794000,VEEV,1yr
,VEEV,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-10-17,37.740002,38.299999,37.740002,37.970001,37.970001,591200,VEEV,3yr
,VEEV,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-11-05,17.559999,18.000000,17.030001,17.690001,17.690001,1341500,WIX,1yr
,WIX,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-11-07,39.750000,41.400002,39.750000,40.200001,40.200001,409000,WIX,3yr
,WIX,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-08-06,5.980000,6.210000,5.860000,5.890000,4.806676,140100,YUME,1yr
,YUME,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-08-08,3.480000,3.540000,3.430000,3.500000,2.856259,73600,YUME,3yr
,YUME,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2013-10-09,18.889999,19.150000,17.549999,18.090000,18.090000,1446800,AMBA,1yr
,AMBA,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-10-09,56.900002,59.959999,56.509998,57.169998,57.169998,2520800,AMBA,3yr
,AMBA,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-10-09,49.919998,50.689999,49.560001,50.349998,50.349998,886700,AMBA,5yr
,AMBA,5yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2013-02-25,6.550000,6.920000,6.540000,6.570000,6.570000,668900,BV,1yr
,BV,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-02-23,9.150000,9.250000,9.000000,9.150000,9.150000,277600,BV,3yr
,BV,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-02-23,4.650000,4.650000,4.450000,4.600000,4.600000,441000,BV,5yr
,BV,5yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2013-02-07,21.549999,21.590000,21.129999,21.520000,21.520000,39600,EPAM,1yr
,EPAM,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-02-09,50.869999,51.660000,50.680000,51.000000,51.000000,270900,EPAM,3yr
,EPAM,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-02-07,65.029999,65.919998,64.860001,65.839996,65.839996,353800,EPAM,5yr
,EPAM,5yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2013-05-17,26.400000,26.600000,26.200001,26.250000,26.250000,29462700,FB,1yr
,FB,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-05-18,80.330002,81.379997,80.230003,80.879997,80.879997,21077200,FB,3yr
,FB,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-05-17,148.000000,148.669998,144.419998,144.850006,144.850006,28300100,FB,5yr
,FB,5yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2013-01-24,33.009998,33.189999,32.490002,32.970001,32.970001,191000,GWRE,1yr
,GWRE,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-01-26,50.689999,51.490002,49.759998,51.450001,51.450001,278800,GWRE,3yr
,GWRE,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-01-24,52.730000,52.950001,52.029999,52.750000,52.750000,291100,GWRE,5yr
,GWRE,5yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2013-03-14,16.139999,16.400000,16.120001,16.309999,16.309999,57900,MTSI,1yr
,MTSI,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-03-16,33.599998,35.279999,33.450001,35.160000,35.160000,533800,MTSI,3yr
,MTSI,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-03-14,46.049999,46.049999,45.410000,45.610001,45.610001,365300,MTSI,5yr
,MTSI,5yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2013-07-19,49.000000,50.000000,48.650002,49.810001,49.810001,1420700,PANW,1yr
,PANW,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-07-20,190.500000,191.550003,188.320007,190.029999,190.029999,1156700,PANW,3yr
,PANW,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-07-19,140.000000,142.380005,139.660004,140.770004,140.770004,765500,PANW,5yr
,PANW,5yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2013-04-19,17.100000,17.260000,16.950001,17.110001,17.110001,86400,PFPT,1yr
,PFPT,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-04-20,57.860001,58.650002,57.240002,57.630001,57.630001,532200,PFPT,3yr
,PFPT,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-04-19,77.209999,78.220001,76.300003,77.620003,77.620003,688600,PFPT,5yr
,PFPT,5yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2013-09-27,21.750000,22.180000,21.559999,21.889999,21.889999,143100,QLYS,1yr
,QLYS,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-09-28,29.490000,29.490000,28.160000,28.480000,28.480000,431700,QLYS,3yr
,QLYS,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-09-27,51.500000,53.099998,51.230000,52.900002,52.900002,225600,QLYS,5yr
,QLYS,5yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
